origin_id,origin_name,destination_id,destination_name,fecha,total_trips,source_file,total_trips_modif,od_valido,intrazonal,acceso_valido,sentido
1,25,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,1,True,
105,135,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
106,130,1,25,2025-09-04,10,od_viaductos_1018.csv,10,True,0,True,
112,144,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
113,142,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
119,115,1,25,2025-09-04,10,od_viaductos_1018.csv,10,True,0,True,
134,127,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
135,132,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
136,143,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
137,137,1,25,2025-09-04,17,od_viaductos_1018.csv,17,True,0,True,
141,139,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
143,138,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
144,128,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
145,141,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
15,24B,1,25,2025-09-04,12,od_viaductos_1018.csv,12,True,0,True,
151,129,1,25,2025-09-04,36,od_viaductos_1018.csv,36,True,0,True,
33,21A,1,25,2025-09-04,12,od_viaductos_1018.csv,12,True,0,True,
4,108,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
49,08,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
51,06B,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
52,07,1,25,2025-09-04,69,od_viaductos_1018.csv,69,True,0,True,
53,21B,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
54,70B,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
55,02F,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
59,49F,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
62,23,1,25,2025-09-04,19,od_viaductos_1018.csv,19,True,0,True,
65,24A,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
66,20,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
67,18,1,25,2025-09-04,72,od_viaductos_1018.csv,72,True,0,True,
73,13,1,25,2025-09-04,10,od_viaductos_1018.csv,10,True,0,True,
76,60,1,25,2025-09-04,12,od_viaductos_1018.csv,12,True,0,True,
78,52,1,25,2025-09-04,13,od_viaductos_1018.csv,13,True,0,True,
80,45,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
81,42,1,25,2025-09-04,45,od_viaductos_1018.csv,45,True,0,True,
82,43,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
83,34,1,25,2025-09-04,11,od_viaductos_1018.csv,11,True,0,True,
84,41,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
86,32,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
87,X29F,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
89,35,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
90,03,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
92,37F,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
94,06A,1,25,2025-09-04,48,od_viaductos_1018.csv,48,True,0,True,
96,69B,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
98,68B,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
99,65A,1,25,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
100,68A,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,1,True,
102,63B,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
105,135,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
106,130,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
108,126,100,68A,2025-09-04,15,od_viaductos_1018.csv,15,True,0,True,
109,136,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
115,145,100,68A,2025-09-04,10,od_viaductos_1018.csv,10,True,0,True,
116,146,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
135,132,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
136,143,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
137,137,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
138,140,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
141,139,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
142,131,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
143,138,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
144,128,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
147,54,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
15,24B,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
151,129,100,68A,2025-09-04,23,od_viaductos_1018.csv,23,True,0,True,
33,21A,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
39,122,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
44,150,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
49,08,100,68A,2025-09-04,11,od_viaductos_1018.csv,11,True,0,True,
50,09,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
51,06B,100,68A,2025-09-04,19,od_viaductos_1018.csv,19,True,0,True,
52,07,100,68A,2025-09-04,68,od_viaductos_1018.csv,68,True,0,True,
53,21B,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
54,70B,100,68A,2025-09-04,12,od_viaductos_1018.csv,12,True,0,True,
55,02F,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
56,69A,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
58,01,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
64,40,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
65,24A,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
66,20,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
67,18,100,68A,2025-09-04,92,od_viaductos_1018.csv,92,True,0,True,
68,16,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
73,13,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
74,38,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
76,60,100,68A,2025-09-04,10,od_viaductos_1018.csv,10,True,0,True,
78,52,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
79,44,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
80,45,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
81,42,100,68A,2025-09-04,22,od_viaductos_1018.csv,22,True,0,True,
82,43,100,68A,2025-09-04,15,od_viaductos_1018.csv,15,True,0,True,
83,34,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
84,41,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
85,30F,100,68A,2025-09-04,12,od_viaductos_1018.csv,12,True,0,True,
86,32,100,68A,2025-09-04,11,od_viaductos_1018.csv,11,True,0,True,
87,X29F,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
89,35,100,68A,2025-09-04,32,od_viaductos_1018.csv,32,True,0,True,
91,04,100,68A,2025-09-04,10,od_viaductos_1018.csv,10,True,0,True,
92,37F,100,68A,2025-09-04,13,od_viaductos_1018.csv,13,True,0,True,
93,Aeropuerto,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
94,06A,100,68A,2025-09-04,136,od_viaductos_1018.csv,136,True,0,True,
95,70A,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
96,69B,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
97,05,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
98,68B,100,68A,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
104,61,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
51,06B,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
52,07,101,X63F,2025-09-04,12,od_viaductos_1018.csv,12,True,0,True,
67,18,101,X63F,2025-09-04,17,od_viaductos_1018.csv,17,True,0,True,
73,13,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
81,42,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
83,34,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
86,32,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
89,35,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
92,37F,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
94,06A,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
98,68B,101,X63F,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
100,68A,102,63B,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
102,63B,102,63B,2025-09-04,133,od_viaductos_1018.csv,133,True,1,True,
103,29F,102,63B,2025-09-04,12,od_viaductos_1018.csv,12,True,0,True,
104,61,102,63B,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
105,135,102,63B,2025-09-04,20,od_viaductos_1018.csv,20,True,0,True,
106,130,102,63B,2025-09-04,112,od_viaductos_1018.csv,112,True,0,True,
107,134,102,63B,2025-09-04,14,od_viaductos_1018.csv,14,True,0,True,
108,126,102,63B,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
109,136,102,63B,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
112,144,102,63B,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
113,142,102,63B,2025-09-04,32,od_viaductos_1018.csv,32,True,0,True,
114,14F,102,63B,2025-09-04,1,od_viaductos_1018.csv,1,True,0,True,
115,145,102,63B,2025-09-04,30,od_viaductos_1018.csv,30,True,0,True,
116,146,102,63B,2025-09-04,26,od_viaductos_1018.csv,26,True,0,True,
