start_date,end_date,date,destination,destination_name,origin,origin_name,total_trips,origin_node_id,destination_node_id
2025-09-04,2025-09-11,2025-09-04,100,68A,100,68A,<10,2,2
2025-09-04,2025-09-11,2025-09-04,100,68A,102,63B,<10,46,2
2025-09-04,2025-09-11,2025-09-04,100,68A,105,135,<10,43,2
2025-09-04,2025-09-11,2025-09-04,100,68A,106,130,<10,41,2
2025-09-04,2025-09-11,2025-09-04,100,68A,108,126,15.39,4,2
2025-09-04,2025-09-11,2025-09-04,100,68A,109,136,<10,130,2
2025-09-04,2025-09-11,2025-09-04,100,68A,115,145,10.71,119,2
2025-09-04,2025-09-11,2025-09-04,100,68A,116,146,<10,124,2
2025-09-04,2025-09-11,2025-09-04,100,68A,135,132,<10,105,2
2025-09-04,2025-09-11,2025-09-04,100,68A,136,143,<10,109,2
2025-09-04,2025-09-11,2025-09-04,100,68A,137,137,<10,137,2
2025-09-04,2025-09-11,2025-09-04,100,68A,138,140,<10,143,2
2025-09-04,2025-09-11,2025-09-04,100,68A,141,139,<10,145,2
2025-09-04,2025-09-11,2025-09-04,100,68A,142,131,<10,113,2
2025-09-04,2025-09-11,2025-09-04,100,68A,143,138,<10,136,2
2025-09-04,2025-09-11,2025-09-04,100,68A,144,128,<10,112,2
2025-09-04,2025-09-11,2025-09-04,100,68A,147,54,<10,123,2
2025-09-04,2025-09-11,2025-09-04,100,68A,15,24B,<10,72,2
2025-09-04,2025-09-11,2025-09-04,100,68A,44,150,<10,79,2
2025-09-04,2025-09-11,2025-09-04,100,68A,50,09,<10,111,2
2025-09-04,2025-09-11,2025-09-04,100,68A,52,07,68.18,78,2
2025-09-04,2025-09-11,2025-09-04,100,68A,53,21B,<10,154,2
2025-09-04,2025-09-11,2025-09-04,100,68A,54,70B,12.0,147,2
2025-09-04,2025-09-11,2025-09-04,101,X63F,104,61,<10,42,150
2025-09-04,2025-09-11,2025-09-04,101,X63F,52,07,12.53,78,150
2025-09-04,2025-09-11,2025-09-04,102,63B,100,68A,<10,2,46
2025-09-04,2025-09-11,2025-09-04,102,63B,102,63B,133.26,46,46
2025-09-04,2025-09-11,2025-09-04,102,63B,103,29F,12.5,125,46
2025-09-04,2025-09-11,2025-09-04,102,63B,104,61,<10,42,46
2025-09-04,2025-09-11,2025-09-04,102,63B,105,135,20.92,43,46
2025-09-04,2025-09-11,2025-09-04,102,63B,106,130,112.21,41,46
2025-09-04,2025-09-11,2025-09-04,102,63B,107,134,14.68,133,46
2025-09-04,2025-09-11,2025-09-04,102,63B,108,126,<10,4,46
2025-09-04,2025-09-11,2025-09-04,102,63B,109,136,<10,130,46
2025-09-04,2025-09-11,2025-09-04,102,63B,112,144,<10,149,46
2025-09-04,2025-09-11,2025-09-04,102,63B,113,142,32.76,45,46
2025-09-04,2025-09-11,2025-09-04,102,63B,114,14F,<10,126,46
2025-09-04,2025-09-11,2025-09-04,102,63B,115,145,30.08,119,46
2025-09-04,2025-09-11,2025-09-04,102,63B,116,146,26.08,124,46
2025-09-04,2025-09-11,2025-09-04,102,63B,117,123,<10,128,46
2025-09-04,2025-09-11,2025-09-04,102,63B,121,133,22.49,140,46
2025-09-04,2025-09-11,2025-09-04,102,63B,123,147,14.52,117,46
2025-09-04,2025-09-11,2025-09-04,102,63B,126,114,<10,108,46
2025-09-04,2025-09-11,2025-09-04,102,63B,127,110,14.94,134,46
2025-09-04,2025-09-11,2025-09-04,102,63B,131,124,10.6,142,46
2025-09-04,2025-09-11,2025-09-04,102,63B,134,127,44.75,107,46
2025-09-04,2025-09-11,2025-09-04,102,63B,135,132,16.88,105,46
2025-09-04,2025-09-11,2025-09-04,102,63B,136,143,156.03,109,46
2025-09-04,2025-09-11,2025-09-04,102,63B,137,137,96.9,137,46
2025-09-04,2025-09-11,2025-09-04,102,63B,138,140,15.11,143,46
2025-09-04,2025-09-11,2025-09-04,102,63B,141,139,14.14,145,46
2025-09-04,2025-09-11,2025-09-04,102,63B,143,138,148.27,136,46
2025-09-04,2025-09-11,2025-09-04,102,63B,145,141,11.44,115,46
2025-09-04,2025-09-11,2025-09-04,102,63B,147,54,47.39,123,46
2025-09-04,2025-09-11,2025-09-04,102,63B,149,112,29.49,40,46
2025-09-04,2025-09-11,2025-09-04,102,63B,15,24B,22.21,72,46
2025-09-04,2025-09-11,2025-09-04,102,63B,40,149,<10,64,46
2025-09-04,2025-09-11,2025-09-04,102,63B,41,106,<10,84,46
2025-09-04,2025-09-11,2025-09-04,102,63B,43,105,<10,82,46
2025-09-04,2025-09-11,2025-09-04,102,63B,44,150,<10,79,46
2025-09-04,2025-09-11,2025-09-04,102,63B,45,113,<10,80,46
2025-09-04,2025-09-11,2025-09-04,102,63B,50,09,<10,111,46
2025-09-04,2025-09-11,2025-09-04,102,63B,52,07,759.06,78,46
2025-09-04,2025-09-11,2025-09-04,102,63B,53,21B,21.25,154,46
2025-09-04,2025-09-11,2025-09-04,102,63B,54,70B,19.69,147,46
2025-09-04,2025-09-11,2025-09-04,102,63B,59,49F,<10,60,46
2025-09-04,2025-09-11,2025-09-04,102,63B,60,59,10.56,76,46
2025-09-04,2025-09-11,2025-09-04,104,61,102,63B,13.02,46,42
2025-09-04,2025-09-11,2025-09-04,104,61,104,61,44.55,42,42
2025-09-04,2025-09-11,2025-09-04,104,61,106,130,13.07,41,42
2025-09-04,2025-09-11,2025-09-04,104,61,112,144,<10,149,42
2025-09-04,2025-09-11,2025-09-04,104,61,114,14F,<10,126,42
2025-09-04,2025-09-11,2025-09-04,104,61,115,145,<10,119,42
2025-09-04,2025-09-11,2025-09-04,104,61,116,146,<10,124,42
2025-09-04,2025-09-11,2025-09-04,104,61,117,123,<10,128,42
2025-09-04,2025-09-11,2025-09-04,104,61,119,115,<10,122,42
2025-09-04,2025-09-11,2025-09-04,104,61,121,133,<10,140,42
2025-09-04,2025-09-11,2025-09-04,104,61,134,127,<10,107,42
2025-09-04,2025-09-11,2025-09-04,104,61,135,132,<10,105,42
2025-09-04,2025-09-11,2025-09-04,104,61,136,143,<10,109,42
2025-09-04,2025-09-11,2025-09-04,104,61,137,137,15.69,137,42
2025-09-04,2025-09-11,2025-09-04,104,61,141,139,11.19,145,42
2025-09-04,2025-09-11,2025-09-04,104,61,143,138,22.35,136,42
2025-09-04,2025-09-11,2025-09-04,104,61,147,54,<10,123,42
2025-09-04,2025-09-11,2025-09-04,104,61,149,112,<10,40,42
2025-09-04,2025-09-11,2025-09-04,104,61,40,149,<10,64,42
2025-09-04,2025-09-11,2025-09-04,104,61,52,07,90.28,78,42
2025-09-04,2025-09-11,2025-09-04,104,61,53,21B,49.59,154,42
2025-09-04,2025-09-11,2025-09-04,104,61,54,70B,<10,147,42
2025-09-04,2025-09-11,2025-09-04,104,61,59,49F,<10,60,42
2025-09-04,2025-09-11,2025-09-04,104,61,61,X4F,<10,104,42
2025-09-04,2025-09-11,2025-09-04,105,135,100,68A,<10,2,43
2025-09-04,2025-09-11,2025-09-04,105,135,102,63B,<10,46,43
2025-09-04,2025-09-11,2025-09-04,105,135,105,135,24.96,43,43
2025-09-04,2025-09-11,2025-09-04,105,135,106,130,277.4,41,43
2025-09-04,2025-09-11,2025-09-04,105,135,107,134,<10,133,43
2025-09-04,2025-09-11,2025-09-04,105,135,109,136,<10,130,43
2025-09-04,2025-09-11,2025-09-04,105,135,110,48F,<10,127,43
2025-09-04,2025-09-11,2025-09-04,105,135,111,50,<10,139,43
2025-09-04,2025-09-11,2025-09-04,105,135,113,142,70.95,45,43
2025-09-04,2025-09-11,2025-09-04,105,135,115,145,<10,119,43
2025-09-04,2025-09-11,2025-09-04,105,135,116,146,103.09,124,43
2025-09-04,2025-09-11,2025-09-04,105,135,119,115,<10,122,43
2025-09-04,2025-09-11,2025-09-04,105,135,121,133,<10,140,43
2025-09-04,2025-09-11,2025-09-04,105,135,126,114,<10,108,43
2025-09-04,2025-09-11,2025-09-04,105,135,127,110,48.71,134,43
2025-09-04,2025-09-11,2025-09-04,105,135,131,124,10.53,142,43
2025-09-04,2025-09-11,2025-09-04,105,135,134,127,59.68,107,43
2025-09-04,2025-09-11,2025-09-04,105,135,135,132,49.45,105,43
2025-09-04,2025-09-11,2025-09-04,105,135,136,143,71.22,109,43
2025-09-04,2025-09-11,2025-09-04,105,135,137,137,93.03,137,43
2025-09-04,2025-09-11,2025-09-04,105,135,141,139,80.2,145,43
2025-09-04,2025-09-11,2025-09-04,105,135,143,138,81.3,136,43
2025-09-04,2025-09-11,2025-09-04,105,135,145,141,<10,115,43
2025-09-04,2025-09-11,2025-09-04,105,135,149,112,31.88,40,43
2025-09-04,2025-09-11,2025-09-04,105,135,15,24B,10.55,72,43
2025-09-04,2025-09-11,2025-09-04,105,135,44,150,<10,79,43
2025-09-04,2025-09-11,2025-09-04,105,135,50,09,<10,111,43
2025-09-04,2025-09-11,2025-09-04,105,135,52,07,266.17,78,43
2025-09-04,2025-09-11,2025-09-04,105,135,53,21B,<10,154,43
2025-09-04,2025-09-11,2025-09-04,105,135,54,70B,<10,147,43
2025-09-04,2025-09-11,2025-09-04,105,135,59,49F,13.59,60,43
2025-09-04,2025-09-11,2025-09-04,106,130,101,X63F,<10,150,41
2025-09-04,2025-09-11,2025-09-04,106,130,102,63B,14.79,46,41
2025-09-04,2025-09-11,2025-09-04,106,130,105,135,<10,43,41
2025-09-04,2025-09-11,2025-09-04,106,130,106,130,53.27,41,41
2025-09-04,2025-09-11,2025-09-04,106,130,107,134,<10,133,41
2025-09-04,2025-09-11,2025-09-04,106,130,109,136,22.15,130,41
2025-09-04,2025-09-11,2025-09-04,106,130,113,142,<10,45,41
2025-09-04,2025-09-11,2025-09-04,106,130,115,145,24.2,119,41
2025-09-04,2025-09-11,2025-09-04,106,130,134,127,<10,107,41
2025-09-04,2025-09-11,2025-09-04,106,130,135,132,<10,105,41
2025-09-04,2025-09-11,2025-09-04,106,130,136,143,<10,109,41
2025-09-04,2025-09-11,2025-09-04,106,130,137,137,<10,137,41
2025-09-04,2025-09-11,2025-09-04,106,130,143,138,<10,136,41
2025-09-04,2025-09-11,2025-09-04,106,130,15,24B,<10,72,41
2025-09-04,2025-09-11,2025-09-04,106,130,40,149,<10,64,41
2025-09-04,2025-09-11,2025-09-04,106,130,52,07,21.19,78,41
2025-09-04,2025-09-11,2025-09-04,106,130,53,21B,30.98,154,41
2025-09-04,2025-09-11,2025-09-04,106,130,54,70B,12.63,147,41
2025-09-04,2025-09-11,2025-09-04,107,134,100,68A,<10,2,133
2025-09-04,2025-09-11,2025-09-04,107,134,102,63B,<10,46,133
2025-09-04,2025-09-11,2025-09-04,107,134,105,135,<10,43,133
2025-09-04,2025-09-11,2025-09-04,107,134,106,130,575.96,41,133
2025-09-04,2025-09-11,2025-09-04,107,134,107,134,107.64,133,133
2025-09-04,2025-09-11,2025-09-04,107,134,108,126,<10,4,133
2025-09-04,2025-09-11,2025-09-04,107,134,109,136,<10,130,133
2025-09-04,2025-09-11,2025-09-04,107,134,110,48F,<10,127,133
2025-09-04,2025-09-11,2025-09-04,107,134,111,50,<10,139,133
2025-09-04,2025-09-11,2025-09-04,107,134,112,144,<10,149,133
2025-09-04,2025-09-11,2025-09-04,107,134,113,142,45.12,45,133
2025-09-04,2025-09-11,2025-09-04,107,134,115,145,24.54,119,133
2025-09-04,2025-09-11,2025-09-04,107,134,116,146,414.29,124,133
2025-09-04,2025-09-11,2025-09-04,107,134,121,133,15.73,140,133
2025-09-04,2025-09-11,2025-09-04,107,134,127,110,26.11,134,133
2025-09-04,2025-09-11,2025-09-04,107,134,131,124,15.66,142,133
2025-09-04,2025-09-11,2025-09-04,107,134,132,125,<10,135,133
2025-09-04,2025-09-11,2025-09-04,107,134,134,127,124.76,107,133
2025-09-04,2025-09-11,2025-09-04,107,134,135,132,83.17,105,133
2025-09-04,2025-09-11,2025-09-04,107,134,136,143,975.03,109,133
2025-09-04,2025-09-11,2025-09-04,107,134,137,137,401.7,137,133
2025-09-04,2025-09-11,2025-09-04,107,134,138,140,<10,143,133
2025-09-04,2025-09-11,2025-09-04,107,134,141,139,109.79,145,133
2025-09-04,2025-09-11,2025-09-04,107,134,143,138,211.35,136,133
2025-09-04,2025-09-11,2025-09-04,107,134,145,141,<10,115,133
2025-09-04,2025-09-11,2025-09-04,107,134,147,54,<10,123,133
2025-09-04,2025-09-11,2025-09-04,107,134,149,112,41.92,40,133
2025-09-04,2025-09-11,2025-09-04,107,134,15,24B,<10,72,133
2025-09-04,2025-09-11,2025-09-04,107,134,44,150,<10,79,133
2025-09-04,2025-09-11,2025-09-04,107,134,50,09,14.41,111,133
2025-09-04,2025-09-11,2025-09-04,107,134,52,07,402.97,78,133
2025-09-04,2025-09-11,2025-09-04,107,134,53,21B,<10,154,133
2025-09-04,2025-09-11,2025-09-04,107,134,54,70B,18.64,147,133
2025-09-04,2025-09-11,2025-09-04,107,134,59,49F,<10,60,133
2025-09-04,2025-09-11,2025-09-04,107,134,61,X4F,<10,104,133
2025-09-04,2025-09-11,2025-09-04,108,126,100,68A,<10,2,4
2025-09-04,2025-09-11,2025-09-04,108,126,102,63B,<10,46,4
2025-09-04,2025-09-11,2025-09-04,108,126,106,130,10.38,41,4
2025-09-04,2025-09-11,2025-09-04,108,126,108,126,16.67,4,4
2025-09-04,2025-09-11,2025-09-04,108,126,110,48F,12.56,127,4
2025-09-04,2025-09-11,2025-09-04,108,126,113,142,<10,45,4
2025-09-04,2025-09-11,2025-09-04,108,126,142,131,<10,113,4
2025-09-04,2025-09-11,2025-09-04,108,126,52,07,<10,78,4
2025-09-04,2025-09-11,2025-09-04,108,126,54,70B,<10,147,4
2025-09-04,2025-09-11,2025-09-04,109,136,102,63B,<10,46,130
2025-09-04,2025-09-11,2025-09-04,109,136,105,135,<10,43,130
2025-09-04,2025-09-11,2025-09-04,109,136,106,130,1035.41,41,130
2025-09-04,2025-09-11,2025-09-04,109,136,107,134,12.36,133,130
2025-09-04,2025-09-11,2025-09-04,109,136,108,126,15.32,4,130
2025-09-04,2025-09-11,2025-09-04,109,136,109,136,349.9,130,130
2025-09-04,2025-09-11,2025-09-04,109,136,111,50,<10,139,130
2025-09-04,2025-09-11,2025-09-04,109,136,112,144,<10,149,130
2025-09-04,2025-09-11,2025-09-04,109,136,113,142,36.35,45,130
2025-09-04,2025-09-11,2025-09-04,109,136,115,145,22.65,119,130
2025-09-04,2025-09-11,2025-09-04,109,136,116,146,89.73,124,130
2025-09-04,2025-09-11,2025-09-04,109,136,123,147,<10,117,130
2025-09-04,2025-09-11,2025-09-04,109,136,126,114,11.83,108,130
2025-09-04,2025-09-11,2025-09-04,109,136,127,110,35.09,134,130
2025-09-04,2025-09-11,2025-09-04,109,136,131,124,20.37,142,130
2025-09-04,2025-09-11,2025-09-04,109,136,132,125,<10,135,130
2025-09-04,2025-09-11,2025-09-04,109,136,134,127,225.77,107,130
2025-09-04,2025-09-11,2025-09-04,109,136,135,132,75.98,105,130
2025-09-04,2025-09-11,2025-09-04,109,136,136,143,1014.01,109,130
2025-09-04,2025-09-11,2025-09-04,109,136,137,137,580.1,137,130
2025-09-04,2025-09-11,2025-09-04,109,136,138,140,16.8,143,130
2025-09-04,2025-09-11,2025-09-04,109,136,141,139,75.32,145,130
2025-09-04,2025-09-11,2025-09-04,109,136,142,131,27.62,113,130
2025-09-04,2025-09-11,2025-09-04,109,136,143,138,468.62,136,130
2025-09-04,2025-09-11,2025-09-04,109,136,144,128,<10,112,130
2025-09-04,2025-09-11,2025-09-04,109,136,145,141,14.78,115,130
2025-09-04,2025-09-11,2025-09-04,109,136,149,112,53.53,40,130
2025-09-04,2025-09-11,2025-09-04,109,136,44,150,17.14,79,130
2025-09-04,2025-09-11,2025-09-04,109,136,45,113,<10,80,130
2025-09-04,2025-09-11,2025-09-04,109,136,50,09,<10,111,130
2025-09-04,2025-09-11,2025-09-04,109,136,52,07,264.93,78,130
2025-09-04,2025-09-11,2025-09-04,109,136,53,21B,<10,154,130
2025-09-04,2025-09-11,2025-09-04,109,136,54,70B,<10,147,130
