start_date,end_date,date,destination,destination_name,origin,origin_name,total_trips
2025-09-04,2025-09-11,2025-09-04,1,25,1,25,<10
2025-09-04,2025-09-11,2025-09-04,1,25,119,115,<10
2025-09-04,2025-09-11,2025-09-04,1,25,136,143,<10
2025-09-04,2025-09-11,2025-09-04,1,25,137,137,<10
2025-09-04,2025-09-11,2025-09-04,1,25,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,1,25,33,21A,10.69
2025-09-04,2025-09-11,2025-09-04,1,25,52,07,<10
2025-09-04,2025-09-11,2025-09-04,1,25,53,21B,12.44
2025-09-04,2025-09-11,2025-09-04,1,25,62,23,<10
2025-09-04,2025-09-11,2025-09-04,1,25,65,24A,<10
2025-09-04,2025-09-11,2025-09-04,1,25,70,12F,<10
2025-09-04,2025-09-11,2025-09-04,1,25,81,42,<10
2025-09-04,2025-09-11,2025-09-04,1,25,83,34,<10
2025-09-04,2025-09-11,2025-09-04,1,25,90,03,<10
2025-09-04,2025-09-11,2025-09-04,1,25,94,06A,<10
2025-09-04,2025-09-11,2025-09-04,1,25,96,69B,<10
2025-09-04,2025-09-11,2025-09-04,1,25,99,65A,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,100,68A,11.01
2025-09-04,2025-09-11,2025-09-04,100,68A,102,63B,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,104,61,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,105,135,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,107,134,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,109,136,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,117,123,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,15,24B,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,33,21A,22.29
2025-09-04,2025-09-11,2025-09-04,100,68A,49,08,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,51,06B,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,52,07,13.99
2025-09-04,2025-09-11,2025-09-04,100,68A,53,21B,22.41
2025-09-04,2025-09-11,2025-09-04,100,68A,54,70B,<10
2025-09-04,2025-09-11,2025-09-04,100,68A,56,69A,25.23
