origin_id,destination_id,trips_person,intrazonal_factor,mc_distance_m,mc2_distance_m,sense_candidate
1081,1349,1.0,0,11.832403189536198,21493.21016006547,0
1258,1255,40.37,0,0.0,0.0,
1027,1001,1.0,0,0.0,0.0,
1349,60,1.0,0,31265.48411610961,47499.35593578104,0
1273,1158,1.0,0,7.675418431869771,7.675418431869771,
1010,1348,1.0,0,10740.68887843797,10740.68887843797,
1274,1226,11.35,0,10740.688878437964,10740.688878437964,
1246,1348,1.0,0,0.0,0.0,
1350,1100,1.0,0,10740.688878437964,10740.688878437964,
19,1158,1.0,0,120763.58636660235,120763.58636660235,
1325,1012,1.0,0,10752.5212816275,10752.5212816275,
211,1231,1.0,0,10740.688878437964,10740.688878437964,
1346,1269,133.99,0,10752.521281627507,10752.521281627507,
125,1115,10.81,0,115623.96226189258,115623.96226189258,
1237,1193,1.0,0,0.0,21505.042563255007,0
1324,1054,1.0,0,0.0,21481.377756875932,0
1348,1190,18.61,0,7.675418431869771,7.675418431869771,
1325,1005,1.0,0,0.0,0.0,
1320,1327,30.11,0,10752.521281627507,10752.521281627507,
1350,1005,1.0,0,0.0,0.0,
1196,1325,24.69,0,10752.521281627507,10752.521281627507,
1325,1272,1.0,0,0.0,0.0,
5,1117,1.0,0,172258.82222196515,172258.82222196515,
1354,1277,1.0,0,10740.68887843797,10740.68887843797,
1348,1349,223.98,0,10740.688878437964,10740.688878437964,
1320,1324,12.76,0,11.832403189536198,21493.21016006547,0
1288,1330,14.29,0,0.0,0.0,
104,1132,1.0,0,12357.546424437049,12357.546424437049,
1277,1146,1.0,0,7.675418431869771,7.675418431869771,
1348,1034,1.0,0,10740.688878437964,10740.688878437964,
1132,106,1.0,0,3612.6680555786625,3612.6680555786625,
125,1108,1.0,0,121383.5298533849,126376.48354352008,1-4
203,1257,1.0,0,11060.076966043063,11060.076966043063,
1348,1273,18.12,0,7.675418431869771,7.675418431869771,
1142,1348,13.51,0,0.0,0.0,
1257,1324,396.19,0,10740.688878437964,10740.688878437964,
1343,1001,1.0,0,18530.209617639182,18530.209617639182,
1226,1277,1.0,0,10740.68887843797,10740.68887843797,
1131,1270,1.0,0,0.0,0.0,
